startTime(s),fixDur,fixVel,fixDriftDisplacement,fixDriftDist,fixDriftVel,fixBCEA,sacFreq,sacAmp,sacEfficiency,sacPeakVel,sacPeakAcc,sacSkewnessExponent,sacPeakVelAmpRatio
0.0,0.6365714285714285,3.331228036655815,0.2724937779565859,1.8550157777521008,0.46013326762183737,0.034495403310388556,1.4,0.9983355686404282,0.9348282476370906,62.02126909812586,6148.84219685634,0.4176904054155322,72.46582804004622
0.1,0.7134999999999999,3.422975161610483,0.30659486940203456,2.083543460723211,0.4717960638692566,0.039064145435853716,1.4,0.9983355686404282,0.9348282476370906,62.02126909812586,6148.84219685634,0.4176904054155322,72.46582804004622
0.2,0.7134999999999999,3.422975161610483,0.30659486940203456,2.083543460723211,0.4717960638692566,0.039064145435853716,1.2,0.5009370062070112,0.9654972963065838,37.43649209397096,4090.5023475387825,0.4705096073517127,75.77578962513486
0.3,0.7134999999999999,3.422975161610483,0.30659486940203456,2.083543460723211,0.4717960638692566,0.039064145435853716,1.2,0.5009370062070112,0.9654972963065838,37.43649209397096,4090.5023475387825,0.4705096073517127,75.77578962513486
0.4,0.8343999999999999,2.911877087763247,0.3512526661669873,2.3711172974015655,0.4118851181666804,0.04525983684546871,1.2,0.5009370062070112,0.9654972963065838,37.43649209397096,4090.5023475387825,0.4705096073517127,75.77578962513486
0.5,0.67875,2.9497766778808963,0.3022206852311057,1.9591551650174326,0.42086934586932007,0.0404736551807357,1.0,0.42304458198073186,0.9590414277000763,32.27589035856178,3544.730707585113,0.45934837092731834,76.71982378139401
0.6,0.7132,2.92976962480875,0.3079271186272723,2.0517801721423745,0.4145196772159122,0.037904341426461416,1.2,0.4083295890394818,0.8881008098187667,32.56550115578164,3630.3824307806767,0.4287673206003515,80.85535322174921
0.7,0.7132,2.92976962480875,0.3079271186272723,2.0517801721423745,0.4145196772159122,0.037904341426461416,1.2,0.4083295890394818,0.8881008098187667,32.56550115578164,3630.3824307806767,0.4287673206003515,80.85535322174921
0.8,0.6188333333333332,2.906689946776338,0.2683388547010123,1.7777382379962594,0.42579554730288605,0.0327790675664242,1.4,0.423179010303454,0.9023263103468793,33.12482705605123,3786.43690179358,0.43474173698517526,79.48337822401852
0.9,0.6188333333333332,2.906689946776338,0.2683388547010123,1.7777382379962594,0.42579554730288605,0.0327790675664242,1.4,0.423179010303454,0.9023263103468793,33.12482705605123,3786.43690179358,0.43474173698517526,79.48337822401852
1.0,0.6188333333333332,2.906689946776338,0.2683388547010123,1.7777382379962594,0.42579554730288605,0.0327790675664242,1.4,0.423179010303454,0.9023263103468793,33.12482705605123,3786.43690179358,0.43474173698517526,79.48337822401852
1.1,0.6188333333333332,2.906689946776338,0.2683388547010123,1.7777382379962594,0.42579554730288605,0.0327790675664242,1.4,0.423179010303454,0.9023263103468793,33.12482705605123,3786.43690179358,0.43474173698517526,79.48337822401852
1.2,0.6188333333333332,2.906689946776338,0.2683388547010123,1.7777382379962594,0.42579554730288605,0.0327790675664242,1.4,0.423179010303454,0.9023263103468793,33.12482705605123,3786.43690179358,0.43474173698517526,79.48337822401852
1.3,0.6188333333333332,2.906689946776338,0.2683388547010123,1.7777382379962594,0.42579554730288605,0.0327790675664242,1.4,0.423179010303454,0.9023263103468793,33.12482705605123,3786.43690179358,0.43474173698517526,79.48337822401852
1.4,0.6188333333333332,2.906689946776338,0.2683388547010123,1.7777382379962594,0.42579554730288605,0.0327790675664242,1.4,0.423179010303454,0.9023263103468793,33.12482705605123,3786.43690179358,0.43474173698517526,79.48337822401852
1.5,0.6188333333333332,2.906689946776338,0.2683388547010123,1.7777382379962594,0.42579554730288605,0.0327790675664242,1.4,0.423179010303454,0.9023263103468793,33.12482705605123,3786.43690179358,0.43474173698517526,79.48337822401852
