startTime(s),SpLength,SpBCEA,SpConvexHull,SpFractalDimension,SpRQARecRate
0.0,0.5654583333333333,0.5639166666666666,0.7024166666666667,0.8704583333333333,0.345875
0.498,0.6102083333333334,0.765125,0.9775833333333334,0.8839166666666667,0.345875
0.996,0.6331666666666667,0.7982083333333333,0.9775833333333334,0.8699583333333333,0.345875
1.494,0.619,0.7573333333333333,0.9487083333333334,0.8734583333333333,0.345875
1.992,0.5996666666666667,0.65275,0.9310416666666667,0.9025416666666667,0.345875
2.49,0.5319166666666667,0.646375,0.9310416666666667,0.8909166666666667,0.345875
2.988,0.5055,0.6767083333333334,0.9310416666666667,0.92275,0.345875
3.486,0.4884583333333333,0.5470833333333334,0.8062916666666666,0.9629166666666666,0.345875
3.984,0.5230833333333333,0.5288333333333334,0.8062916666666666,0.966375,0.345875
4.482,0.5406666666666666,0.5550833333333334,0.86775,0.959625,0.345875
4.98,0.539625,0.46420833333333333,0.6211666666666666,0.946875,0.345875
5.478,0.521125,0.47170833333333334,0.6211666666666666,0.9294583333333334,0.345875
5.976,0.5385833333333333,0.464125,0.6211666666666666,0.9365,0.345875
6.474,0.5526666666666666,0.46379166666666666,0.6211666666666666,0.9483333333333334,0.345875
6.972,0.5255833333333333,0.45858333333333334,0.6211666666666666,0.9447083333333334,0.345875
7.47,0.5461666666666667,0.48583333333333334,0.6211666666666666,0.9325833333333333,0.345875
7.968,0.5362083333333333,0.48125,0.6211666666666666,0.909125,0.345875
8.466,0.556125,0.472625,0.6211666666666666,0.8845833333333334,0.345875
8.964,0.553125,0.468125,0.6211666666666666,0.8588333333333333,0.345875
9.462,0.561625,0.44483333333333336,0.6211666666666666,0.8185416666666666,0.345875
9.96,0.5671666666666667,0.42154166666666665,0.5269166666666667,0.8097083333333334,0.345875
10.458,0.5732083333333333,0.39570833333333333,0.5504166666666667,0.783375,0.345875
10.956,0.5755416666666666,0.464625,0.5935416666666666,0.7296666666666667,0.345875
11.454,0.5885416666666666,0.46670833333333334,0.5935416666666666,0.6785833333333333,0.345875
11.952,0.6195416666666667,0.5650416666666667,0.8653333333333333,0.6836666666666666,0.345875
12.45,0.6195416666666667,0.5650416666666667,0.8653333333333333,0.6836666666666666,0.345875
12.948,0.6160833333333333,0.6196666666666667,0.8653333333333333,0.6465,0.345875
13.446,0.6327083333333333,0.5979166666666667,0.8653333333333333,0.694375,0.345875
13.944,0.6327083333333333,0.5979166666666667,0.8653333333333333,0.694375,0.345875
14.442,0.64625,0.603875,0.8653333333333333,0.6894583333333333,0.345875
14.94,0.6306666666666667,0.58325,0.8653333333333333,0.6998333333333333,0.345875
15.438,0.6134166666666667,0.50175,0.6711666666666667,0.671375,0.345875
15.936,0.6020833333333333,0.5252083333333334,0.6711666666666667,0.6729583333333333,0.345875
16.434,0.590875,0.533625,0.6711666666666667,0.6805833333333333,0.345875
16.932,0.5969583333333334,0.529875,0.6711666666666667,0.665125,0.345875
17.43,0.613375,0.5464166666666667,0.7221666666666666,0.6850416666666667,0.345875
17.928,0.6308333333333334,0.5632916666666666,0.735875,0.6888333333333333,0.345875
18.426,0.6425833333333333,0.5929583333333334,0.7575416666666667,0.713875,0.345875
18.924,0.6152083333333334,0.5515,0.7410833333333333,0.707625,0.345875
19.422,0.625875,0.5235833333333333,0.7410833333333333,0.663375,0.345875
19.92,0.6384583333333333,0.5258333333333334,0.7410833333333333,0.7162083333333333,0.345875
20.418,0.5554583333333334,0.36291666666666667,0.32116666666666666,0.70425,0.345875
20.916,0.5554583333333334,0.36291666666666667,0.32116666666666666,0.70425,0.345875
21.414,0.5757083333333334,0.35070833333333334,0.32116666666666666,0.747,0.345875
21.912,0.5892916666666667,0.346375,0.32116666666666666,0.7529166666666667,0.345875
22.41,0.6084583333333333,0.42704166666666665,0.4305,0.733875,0.345875
22.908,0.601875,0.43083333333333335,0.4305,0.6452083333333334,0.345875
23.406,0.61575,0.41391666666666665,0.4305,0.6518333333333334,0.345875
23.904,0.6171666666666666,0.40891666666666665,0.46095833333333336,0.66325,0.345875
24.402,0.606375,0.4089583333333333,0.47258333333333336,0.654,0.345875
