startTime(s),AoINumber,AoIBCEA,AoIBCEADisp,AoILempelZiv
0.0,0.9851899313501145,0.14155606407322655,0.3241830663615561,0.7687139588100687
1.621,0.9691441647597254,0.20784439359267734,0.4220320366132723,0.7687139588100687
3.242,0.9851899313501145,0.10184897025171624,0.27619221967963387,0.7687139588100687
4.863,0.9924576659038902,0.0605766590389016,0.23275057208237987,0.8323569794050343
6.484,0.9924576659038902,0.08732265446224256,0.25931350114416474,0.8323569794050343
8.105,0.9851899313501145,0.1436887871853547,0.3197254004576659,0.8323569794050343
9.726,0.9691441647597254,0.18493363844393593,0.3592768878718535,0.8323569794050343
11.347,0.9691441647597254,0.12241647597254005,0.2968329519450801,0.8023340961098399
12.968,0.9374187643020595,0.1811441647597254,0.36924485125858125,0.8023340961098399
14.589,0.9374187643020595,0.18502517162471396,0.3761647597254005,0.8023340961098399
16.21,0.9374187643020595,0.18034782608695651,0.36065903890160184,0.8023340961098399
17.831,0.9374187643020595,0.193675057208238,0.3897025171624714,0.8023340961098399
19.452,0.8869839816933639,0.25217391304347825,0.46810983981693366,0.7687139588100687
21.073,0.8869839816933639,0.2588649885583524,0.48691075514874144,0.8023340961098399
22.694,0.8176384439359268,0.3203478260869565,0.4872311212814645,0.7303981693363845
24.315,0.8176384439359268,0.40326773455377574,0.5362745995423341,0.8323569794050343
25.936,0.8869839816933639,0.35830663615560643,0.49470022883295195,0.8832677345537757
27.557,0.9851899313501145,0.28699313501144164,0.41126773455377574,0.9051441647597254
29.178,0.9851899313501145,0.1800366132723112,0.3625812356979405,0.9051441647597254
30.799,0.9924576659038902,0.15305263157894736,0.33187185354691073,0.9231670480549199
32.42,0.9374187643020595,0.19891990846681923,0.36357894736842106,0.8832677345537757
34.041,0.8869839816933639,0.27833409610983983,0.4023066361556064,0.8604576659038902
35.662,0.8869839816933639,0.3026086956521739,0.394974828375286,0.8604576659038902
37.283,0.8176384439359268,0.3491075514874142,0.3603112128146453,0.8323569794050343
38.904,0.8176384439359268,0.34296567505720826,0.3922013729977117,0.8023340961098399
40.525,0.8176384439359268,0.37621967963386727,0.5002105263157894,0.8023340961098399
42.146,0.9691441647597254,0.1957070938215103,0.3204576659038902,0.8604576659038902
43.767,0.8869839816933639,0.3012173913043478,0.3526132723112128,0.7687139588100687
45.388,0.9374187643020595,0.18217848970251715,0.3446590389016018,0.7687139588100687
47.009,0.9374187643020595,0.12410983981693365,0.29726315789473684,0.7687139588100687
48.63,0.9374187643020595,0.1945720823798627,0.3701052631578947,0.7687139588100687
50.251,0.8869839816933639,0.171441647597254,0.3420594965675057,0.7687139588100687
51.872,0.8869839816933639,0.29385812356979407,0.5260228832951945,0.7303981693363845
53.493,0.8869839816933639,0.31277803203661325,0.541720823798627,0.7303981693363845
55.114,0.9374187643020595,0.2605766590389016,0.4762562929061785,0.8023340961098399
56.735,0.8869839816933639,0.29708009153318077,0.5595057208237987,0.8023340961098399
58.356,0.9691441647597254,0.17343707093821512,0.34906178489702516,0.8323569794050343
59.977,0.8176384439359268,0.3308924485125858,0.46202288329519453,0.7687139588100687
61.598,0.8176384439359268,0.3723203661327231,0.5774004576659039,0.8023340961098399
63.219,0.7400091533180778,0.4476613272311213,0.7071762013729977,0.8023340961098399
64.84,0.8176384439359268,0.43807780320366135,0.730096109839817,0.8023340961098399
66.461,0.9691441647597254,0.24843935926773456,0.4631762013729977,0.8604576659038902
68.082,0.9691441647597254,0.28795423340961096,0.5045308924485126,0.8323569794050343
69.703,0.9374187643020595,0.35729061784897026,0.612091533180778,0.8023340961098399
71.324,0.9691441647597254,0.26590389016018307,0.49925858123569794,0.8023340961098399
72.945,0.9691441647597254,0.27464530892448513,0.49610068649885586,0.8023340961098399
74.566,0.9374187643020595,0.26817391304347826,0.39042562929061786,0.8023340961098399
76.187,0.9691441647597254,0.2639725400457666,0.45813272311212816,0.8604576659038902
77.808,0.9374187643020595,0.30097025171624714,0.5425629290617849,0.8323569794050343
79.429,0.8869839816933639,0.3314050343249428,0.5250983981693363,0.8023340961098399
